SLX/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.55, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:31:05.046343+00:00", "2026-09-15T20:31:05.046343+00:00"]
SLX/USDT|trend_following_v1|{"adx_min": 25.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.55, "volume_ratio_min": 0.8}|["2026-05-20T20:31:05.046343+00:00", "2026-09-15T20:31:05.046343+00:00"]
SNDK/USDT|momentum_v1|{"returns_5_min": 0.02, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:31:55.978817+00:00", "2026-09-15T20:31:55.978817+00:00"]
SNOW/USDT|mean_reversion_v1|{"rsi_oversold": 35.0, "min_confidence": 0.55, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:32:42.824584+00:00", "2026-09-15T20:32:42.824584+00:00"]
SNXX/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.55, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:33:01.634804+00:00", "2026-09-15T20:33:01.634804+00:00"]
SOFI/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.55, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:33:20.995188+00:00", "2026-09-15T20:33:20.995188+00:00"]
SOON/USDT|mean_reversion_v1|{"rsi_oversold": 35.0, "min_confidence": 0.65, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:33:35.598335+00:00", "2026-09-15T20:33:35.598335+00:00"]
SSV/USDT|mean_reversion_v1|{"rsi_oversold": 30.0, "min_confidence": 0.65, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:35:09.563812+00:00", "2026-09-15T20:35:09.563812+00:00"]
STG/USDT|momentum_v1|{"returns_5_min": 0.02, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:36:24.611146+00:00", "2026-09-15T20:36:24.611146+00:00"]
SYN/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:37:57.296423+00:00", "2026-09-15T20:37:57.296423+00:00"]
SYN/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:37:57.296423+00:00", "2026-09-15T20:37:57.296423+00:00"]
TAIKO/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:38:42.779954+00:00", "2026-09-15T20:38:42.779954+00:00"]
TAKE/USDT|mean_reversion_v1|{"rsi_oversold": 40.0, "min_confidence": 0.45, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:39:30.524870+00:00", "2026-09-15T20:39:30.524870+00:00"]
TUT/USDT|momentum_v1|{"returns_5_min": 0.005, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:41:56.463965+00:00", "2026-09-15T20:41:56.463965+00:00"]
TUT/USDT|trend_following_v1|{"adx_min": 20.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:41:56.463965+00:00", "2026-09-15T20:41:56.463965+00:00"]
UNI/USDT|momentum_v1|{"returns_5_min": 0.005, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:42:42.528029+00:00", "2026-09-15T20:42:42.528029+00:00"]
UNI/USDT|trend_following_v1|{"adx_min": 20.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:42:42.528029+00:00", "2026-09-15T20:42:42.528029+00:00"]
USELESS/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:44:12.736421+00:00", "2026-09-15T20:44:12.736421+00:00"]
USELESS/USDT|trend_following_v1|{"adx_min": 20.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:44:12.736421+00:00", "2026-09-15T20:44:12.736421+00:00"]
VELVET/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.45, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:45:01.209712+00:00", "2026-09-15T20:45:01.209712+00:00"]
VELVET/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:45:01.209712+00:00", "2026-09-15T20:45:01.209712+00:00"]
VRT/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.55, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:45:49.822644+00:00", "2026-09-15T20:45:49.822644+00:00"]
ZBT/USDT|momentum_v1|{"returns_5_min": 0.005, "min_confidence": 0.45, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:48:48.558451+00:00", "2026-09-15T20:48:48.558451+00:00"]
ZEC/USDT|momentum_v1|{"returns_5_min": 0.02, "min_confidence": 0.45, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:49:35.271384+00:00", "2026-09-15T20:49:35.271384+00:00"]
ZEC/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:49:35.271384+00:00", "2026-09-15T20:49:35.271384+00:00"]
ZEST/USDT|mean_reversion_v1|{"rsi_oversold": 35.0, "min_confidence": 0.55, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:50:23.471638+00:00", "2026-09-15T20:50:23.471638+00:00"]
龙虾/USDT|momentum_v1|{"returns_5_min": 0.02, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:50:49.009716+00:00", "2026-09-15T20:50:49.009716+00:00"]
龙虾/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:50:49.009716+00:00", "2026-09-15T20:50:49.009716+00:00"]
